codigo,piezas_por_caja,usado_en_portal
OT-INS956-4436,1000,NO
OT-INS956-4458,1000,NO
OT-INS956-4510,1000,NO
OT-PDB970-12542,200,SI
OT-PDB970-12547,160,SI
OT-PDB970-12548,160,SI
OT-PDB970-13654,192,SI
OT-PDB970-13655,160,SI
OT-PDB970-13656,160,SI
OT-PDB970-13657,160,SI
OT-PDB970-13658,160,SI
OT-PDB971-12549,30,SI
OT-PDB973-12543,20,SI
OT-PDB973-12544,30,SI
OT-PDB973-12545,20,SI
OT-PDB973-12546,20,SI
OT-PDB973-12550,36,SI
OT-PDB973-12551,20,SI
OT-PDB973-13659,30,SI
OT-PDB973-13660,30,SI
OT-PDB973-13661,30,SI
OT-PDM975-13457,16,SI
OT-PDM975-13458,6,NO
OT-UTE100-6059,10,NO
OT-UTE100-8651,2,SI
OT-UTE800-14348,2,NO
OT-UTE802-14120,50,NO
OT-UTE802-14121,50,NO
OT-UTE802-14122,50,NO
OT-UTE802-14123,50,NO
OT-UTE802-14124,50,NO
OT-UTE802-14125,50,NO
OT-UTE802-14126,50,NO
OT-UTE802-14127,50,NO
OT-UTE802-14128,50,NO
OT-UTE802-14129,50,NO
OT-UTE802-14130,50,NO
OT-UTE802-14131,50,NO
OT-UTE802-14132,50,NO
OT-UTE802-14133,50,SI
OT-UTE802-14134,50,NO
OT-UTE802-14135,50,NO
OT-UTE802-14136,50,NO
OT-UTE802-14137,40,NO
OT-UTE802-14139,40,NO
OT-UTE804-0052,20,SI
OT-UTE804-10461,20,SI
OT-UTE804-10683,20,NO
OT-UTE804-10932,20,NO
OT-UTE804-11119,20,NO
OT-UTE804-11365,20,SI
OT-UTE804-12472,20,NO
OT-UTE804-13012,20,NO
OT-UTE804-13013,20,NO
OT-UTE804-13021,20,SI
OT-UTE804-13601,20,SI
OT-UTE804-13652,20,NO
OT-UTE804-13653,20,SI
OT-UTE804-14165,20,SI
OT-UTE804-14346,20,NO
OT-UTE804-14541,20,NO
OT-UTE804-14542,20,NO
OT-UTE804-14543,20,NO
OT-UTE804-14544,20,NO
OT-UTE804-14545,20,NO
OT-UTE804-14546,20,NO
OT-UTE804-1554,20,NO
OT-UTE804-1577,20,SI
OT-UTE804-1839,20,SI
OT-UTE804-2904,20,NO
OT-UTE804-4509,20,NO
OT-UTE804-7785,20,NO
OT-UTE804-9712,20,NO
OT-UTE804-9966,20,SI
OT-UTE804-9972,20,NO
OT-UTE805-10748,20,SI
OT-UTE805-13731,40,SI
OT-UTE805-1555,40,NO
OT-UTE805-1556,40,NO
